video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face,brightness,mean_r,mean_g,mean_b,blurriness,title is plain,title is emotionally touching,title is exaggerated
l30V426-_S4,SOMEONE STOLE MY CAR AND I STOLE IT BACK,2022-09-29 21:08:17+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=l30V426-_S4,CaseyNeistat,2686220,110655,4130,PT10M2S,12.655859,0.19924152,14.181429,17.141941,23.067667,0.76174754,31.992115,39.96815286624204,94.12989328998584,96.72849495339038,92.72846875276451,94.55699156548567,432.2100166659437,0.5513438582420349,0.18018607795238495,0.2684701383113861
X16jagQdNIE,"well NYC, Today is the Day",2022-09-27 18:07:47+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=X16jagQdNIE,CaseyNeistat,2058787,101634,4505,PT6M36S,11.149368,0.6569845,19.622616,18.347525,29.967434,1.1354692,19.120602,26.699029126213592,124.9529754605751,123.82483874603896,124.57322285640844,129.8799982091087,413.4535187111016,0.8451336622238159,0.068636953830719,0.08622941374778748
igZ6PoZAszQ,MY NEW LIFE IN NYC,2022-09-20 20:57:51+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=igZ6PoZAszQ,CaseyNeistat,3028362,178414,10293,PT7M7S,14.162583,0.016055109,10.771883,18.045061,17.552841,2.2626076,37.18897,49.21348314606742,108.8653904786985,115.6572915886392,106.74094790691323,101.98945035502496,426.2414725166725,0.3148643672466278,0.3972366154193878,0.2878989577293396
RoDi72mL5sg,how this BLIND SURFER GOT 1MILLIONS SUBSCRIBERS IN A MONTH,2022-09-15 16:26:48+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=RoDi72mL5sg,CaseyNeistat,1249272,74047,3070,PT9M20S,10.536024,0.11850405,11.277894,12.845033,17.5012,0.8957774,46.82557,49.57118353344768,96.03538922539067,100.11657793292596,94.74454485152228,91.97279569724364,369.9188423009796,0.06503134220838547,0.3472123444080353,0.5877562761306763
4juSAp9jQjA,WE MOVED BACK TO NEW YORK CITY,2022-09-14 17:21:25+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=4juSAp9jQjA,CaseyNeistat,4208345,248465,17935,PT11M15S,6.261353,1.0680553,17.39772,12.001003,33.54382,1.308443,28.41961,33.38068181818182,87.34075866699219,88.8788502024641,87.20476128472222,84.08921360208531,394.106719785213,0.35563167929649353,0.31392979621887207,0.3304385244846344
oED9tZyI-vU,I Was Invited To Cannes Film Festival,2022-08-30 20:04:08+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=oED9tZyI-vU,CaseyNeistat,1524086,70280,4001,PT10M52S,12.696934,1.3039259,15.228841,19.944605,17.814465,1.8185099,31.192722,43.29896907216495,120.47684794837178,131.58238921105385,116.47840918272378,111.91929312280112,470.11295430757207,0.4233683943748474,0.19144907593727112,0.3851824998855591
Ipv_LWcdfC0,it's been 3 years since we left NYC,2022-04-25 14:27:45+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=Ipv_LWcdfC0,CaseyNeistat,2393613,120087,6090,PT6M51S,12.985796,0.2978633,24.019835,21.534086,17.59421,2.3445354,21.223675,32.63403263403264,91.42425730664011,97.1924176156598,89.48542453784641,86.3144416116291,364.797298658117,0.36834266781806946,0.30149975419044495,0.3301575779914856
8H771jAxq9E,i miss being a YouTuber,2022-04-18 19:18:22+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=8H771jAxq9E,CaseyNeistat,2306122,144402,7056,PT11M26S,14.359209,0.083677806,9.830486,20.24943,12.742888,0.93092257,41.80339,40.6993006993007,102.66834203209984,108.04274624854312,101.22151971639472,96.04376822309636,329.2008758416835,0.14652100205421448,0.21508724987506866,0.6383917331695557
PF3iysOyelg,HIDDEN VIDEO CAMERA in my Custom Glasses,2021-12-10 21:51:01+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=PF3iysOyelg,CaseyNeistat,2530195,110256,4868,PT9M53S,16.217913,1.1281095,14.979227,18.07493,15.844279,2.0792103,31.67633,37.37864077669903,102.22325897973975,112.1593152755304,99.02003010804344,92.63005914857514,450.9414351632101,0.1921217292547226,0.3418480455875397,0.46603018045425415
UVA8pPxOPk4,The Most Important Movie I've Ever Made,2021-12-06 20:07:10+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=UVA8pPxOPk4,CaseyNeistat,2250619,126636,6383,PT9M56S,12.200129,0.2391358,17.978683,15.39828,11.96292,1.9122629,40.30859,56.52173913043478,91.79091145833333,101.40787921866612,88.97471298253265,81.05131873154858,659.6234319351332,0.2667469084262848,0.36397290229797363,0.3692801892757416
